observation,state,year,dmargin,demwin,dwinnext,bin
442,5,1980,-24.52454865,0,0,13
443,5,1986,-45.48086822,0,0,3
444,5,1988,-25.19197464,0,0,13
445,5,1990,-2.933099866,0,1,24
446,5,1994,21.20509148,1,1,36
447,5,1996,33.61973464,1,1,42
448,5,1998,40.20115733,1,1,46
449,5,2000,46.32,1,1,49
450,5,2004,44.86,1,1,48
451,5,2006,49.18,1,1,50
452,5,1954,-13.82772923,0,0,19
453,5,1956,-15.78727961,0,0,18
454,5,1958,-4.092037678,0,0,23
455,5,1960,-2.636241913,0,1,24
456,5,1964,41.79128408,1,1,46
457,5,1966,14.08610642,1,1,33
458,5,1970,27.50060856,1,1,39
459,5,1976,44.40767765,1,1,48
460,5,1978,20.2180177,1,1,36
461,5,1980,46.63202465,1,1,49
462,5,1986,43.86795461,1,1,47
463,5,1988,41.57221615,1,1,46
464,5,1990,32.36999512,1,1,42
465,5,1994,19.80898082,1,0,35
466,5,1996,-23.66530597,0,0,14
467,5,1998,-22.63094485,0,1,14
468,5,2000,12.56,1,1,32
469,5,2004,44.06,1,1,48
470,5,2006,44.66,1,1,48
471,5,1946,-22.26026356,0,0,14
472,5,1950,-18.50966215,0,0,16
473,5,1954,-21.6461271,0,0,15
474,5,1956,-21.53006494,0,0,15
475,5,1958,-15.61876535,0,0,18
476,5,1960,-10.78923047,0,1,20
477,5,1964,33.5295558,1,1,42
478,5,1966,42.76748598,1,1,47
479,5,1970,35.80706716,1,1,43
480,5,1976,6.839373708,1,1,29
481,5,1978,22.7415204,1,1,37
482,5,1980,46.4882195,1,1,49
483,5,1994,29.93307114,1,1,40
484,5,1996,35.48918962,1,1,43
485,5,1998,49.40552115,1,1,50
486,5,2004,45.84,1,1,48
487,5,2006,45.42,1,1,48
488,5,1954,20.18550932,1,1,36
489,5,1956,29.88396585,1,1,40
490,5,1960,35.43080091,1,1,43
491,5,1964,35.34473181,1,1,43
492,5,1966,21.6050297,1,1,36
493,5,1970,26.73024237,1,0,39
494,5,1976,31.37676418,1,0,41
495,5,1978,-8.989751339,0,0,21
496,5,1980,-41.20444357,0,0,5
497,5,1986,-20.41445971,0,0,15
498,5,1988,-42.93373525,0,1,4
499,5,1990,9.086945653,1,1,30
500,5,1994,7.680943608,1,1,29
501,5,1996,21.10000253,1,1,36
